3	1.515507e-01	9.010000e-04
9	2.947415e-05	2.236000e-03
15	1.882232e-03	3.439000e-03
21	3.901856e-04	4.754000e-03
27	1.057833e-04	5.952000e-03
33	3.299275e-05	7.830000e-03
39	1.025964e-05	8.485000e-03
45	3.949889e-06	1.001100e-02
51	1.556127e-06	1.125900e-02
57	5.911853e-07	1.233700e-02
63	2.543784e-07	1.348700e-02
69	1.199484e-07	1.549100e-02
75	5.413870e-08	1.656800e-02
81	2.416142e-08	1.774600e-02
87	1.179155e-08	1.877700e-02
93	6.214270e-09	2.019300e-02
99	3.193079e-09	2.219800e-02
105	1.582486e-09	2.345700e-02
111	8.058664e-10	2.581700e-02
117	4.443387e-10	2.756500e-02
123	2.545786e-10	3.013300e-02
129	1.422462e-10	3.243700e-02
135	7.686719e-11	3.377400e-02
141	4.193534e-11	3.610500e-02
147	2.420327e-11	3.809200e-02
